2020-07-24 09:35:55,889 com.yaof.RecordClearAideApplication [main] (StartupInfoLogger.java:48) INFO  --> Starting RecordClearAideApplication on yaofang with PID 12572 (E:\workspace_winning\RecordClearAide\target\classes started by Administrator in E:\workspace_winning\RecordClearAide)
2020-07-24 09:35:55,894 com.yaof.RecordClearAideApplication [main] (SpringApplication.java:593) INFO  --> No active profile set, falling back to default profiles: default
2020-07-24 09:35:55,970 org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext [main] (AbstractApplicationContext.java:583) INFO  --> Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@757277dc: startup date [Fri Jul 24 09:35:55 CST 2020]; root of context hierarchy
2020-07-24 09:35:56,510 org.hibernate.validator.internal.util.Version [background-preinit] (Version.java:30) INFO  --> HV000001: Hibernate Validator 5.3.6.Final
2020-07-24 09:35:57,532 org.springframework.beans.factory.xml.XmlBeanDefinitionReader [main] (XmlBeanDefinitionReader.java:317) INFO  --> Loading XML bean definitions from class path resource [spring-mybatis.xml]
2020-07-24 09:35:57,750 org.springframework.beans.factory.support.DefaultListableBeanFactory [main] (DefaultListableBeanFactory.java:828) INFO  --> Overriding bean definition for bean 'dataSource' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=commonConfig; factoryMethodName=getDataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/yaof/config/CommonConfig.class]] with [Generic bean: class [com.alibaba.druid.pool.DruidDataSource]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=init; destroyMethodName=close; defined in class path resource [spring-mybatis.xml]]
2020-07-24 09:35:57,903 org.mybatis.spring.mapper.ClassPathMapperScanner [main] (ClassPathMapperScanner.java:166) WARN  --> No MyBatis mapper was found in '[com.yaof]' package. Please check your configuration.
2020-07-24 09:35:58,018 org.mybatis.spring.mapper.ClassPathMapperScanner [main] (ClassPathMapperScanner.java:239) WARN  --> Skipping MapperFactoryBean with name 'ammountMapper' and 'com.yaof.mapper.AmmountMapper' mapperInterface. Bean already defined with the same name!
2020-07-24 09:35:58,018 org.mybatis.spring.mapper.ClassPathMapperScanner [main] (ClassPathMapperScanner.java:239) WARN  --> Skipping MapperFactoryBean with name 'gameRoleMapper' and 'com.yaof.mapper.GameRoleMapper' mapperInterface. Bean already defined with the same name!
2020-07-24 09:35:58,018 org.mybatis.spring.mapper.ClassPathMapperScanner [main] (ClassPathMapperScanner.java:239) WARN  --> Skipping MapperFactoryBean with name 'userMapper' and 'com.yaof.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2020-07-24 09:35:58,018 org.mybatis.spring.mapper.ClassPathMapperScanner [main] (ClassPathMapperScanner.java:166) WARN  --> No MyBatis mapper was found in '[com.yaof.mapper]' package. Please check your configuration.
2020-07-24 09:35:58,020 org.springframework.context.annotation.ConfigurationClassPostProcessor [main] (ConfigurationClassPostProcessor.java:373) WARN  --> Cannot enhance @Configuration bean definition 'commonConfig' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
2020-07-24 09:35:58,606 org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [main] (PostProcessorRegistrationDelegate.java:327) INFO  --> Bean '(inner bean)#75308740' of type [org.springframework.aop.aspectj.AspectJMethodBeforeAdvice] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-24 09:35:58,773 org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [main] (PostProcessorRegistrationDelegate.java:327) INFO  --> Bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0' of type [org.springframework.aop.aspectj.AspectJPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-24 09:35:58,782 org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [main] (PostProcessorRegistrationDelegate.java:327) INFO  --> Bean '(inner bean)#79316f3a' of type [org.springframework.aop.aspectj.AspectJAfterAdvice] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-24 09:35:58,786 org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [main] (PostProcessorRegistrationDelegate.java:327) INFO  --> Bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1' of type [org.springframework.aop.aspectj.AspectJPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-24 09:35:58,832 org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [main] (PostProcessorRegistrationDelegate.java:327) INFO  --> Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3edb81e7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-24 09:35:59,961 org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer [main] (TomcatEmbeddedServletContainer.java:92) INFO  --> Tomcat initialized with port(s): 8088 (http)
2020-07-24 09:36:00,593 org.springframework.web.context.ContextLoader [localhost-startStop-1] (EmbeddedWebApplicationContext.java:276) INFO  --> Root WebApplicationContext: initialization completed in 4626 ms
2020-07-24 09:36:00,944 org.springframework.boot.web.servlet.FilterRegistrationBean [localhost-startStop-1] (AbstractFilterRegistrationBean.java:258) INFO  --> Mapping filter: 'characterEncodingFilter' to: [/*]
2020-07-24 09:36:00,946 org.springframework.boot.web.servlet.FilterRegistrationBean [localhost-startStop-1] (AbstractFilterRegistrationBean.java:258) INFO  --> Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2020-07-24 09:36:00,946 org.springframework.boot.web.servlet.FilterRegistrationBean [localhost-startStop-1] (AbstractFilterRegistrationBean.java:258) INFO  --> Mapping filter: 'httpPutFormContentFilter' to: [/*]
2020-07-24 09:36:00,948 org.springframework.boot.web.servlet.FilterRegistrationBean [localhost-startStop-1] (AbstractFilterRegistrationBean.java:258) INFO  --> Mapping filter: 'requestContextFilter' to: [/*]
2020-07-24 09:36:00,948 org.springframework.boot.web.servlet.FilterRegistrationBean [localhost-startStop-1] (AbstractFilterRegistrationBean.java:271) INFO  --> Mapping filter: 'sessionFilter' to urls: [/*]
2020-07-24 09:36:00,948 org.springframework.boot.web.servlet.FilterRegistrationBean [localhost-startStop-1] (AbstractFilterRegistrationBean.java:271) INFO  --> Mapping filter: 'webStatFilter' to urls: [/*]
2020-07-24 09:36:00,949 org.springframework.boot.web.servlet.ServletRegistrationBean [localhost-startStop-1] (ServletRegistrationBean.java:190) INFO  --> Mapping servlet: 'dispatcherServlet' to [/]
2020-07-24 09:36:00,950 org.springframework.boot.web.servlet.ServletRegistrationBean [localhost-startStop-1] (ServletRegistrationBean.java:190) INFO  --> Mapping servlet: 'statViewServlet' to [/druid/*]
2020-07-24 09:36:01,550 com.alibaba.druid.pool.DruidDataSource [main] (DruidDataSource.java:847) INFO  --> {dataSource-1} inited
2020-07-24 09:36:01,715 com.yaof.RecordClearAideApplication [main] (RecordClearAideApplication.java:33) INFO  --> test:------初始化测试。。。。
2020-07-24 09:36:02,495 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [main] (AbstractHandlerMethodMapping.java:543) INFO  --> Mapped "{[/user/queryDayDetail],methods=[POST]}" onto public com.yaof.pojo.utils.Response<java.util.List<com.yaof.pojo.AmmountSum>> com.yaof.controller.AmmountController.queryDayDetail(com.yaof.pojo.AmmountSum,javax.servlet.http.HttpSession)
2020-07-24 09:36:02,497 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [main] (AbstractHandlerMethodMapping.java:543) INFO  --> Mapped "{[/user/addAccountDetail],methods=[POST]}" onto public com.yaof.pojo.utils.Response<java.lang.String> com.yaof.controller.AmmountController.addAccountDetail(java.util.List<com.yaof.pojo.AmmountSum>,javax.servlet.http.HttpSession)
2020-07-24 09:36:02,498 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [main] (AbstractHandlerMethodMapping.java:543) INFO  --> Mapped "{[/user/queryAccountDetail],methods=[POST]}" onto public com.yaof.pojo.utils.Response<java.util.List<com.yaof.pojo.AmmountSum>> com.yaof.controller.AmmountController.queryAccountDetail(com.yaof.pojo.AmmountSum,javax.servlet.http.HttpSession)
2020-07-24 09:36:02,499 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [main] (AbstractHandlerMethodMapping.java:543) INFO  --> Mapped "{[/user/saveDayDetailById],methods=[POST]}" onto public com.yaof.pojo.utils.Response<java.lang.String> com.yaof.controller.AmmountController.saveDayDetailById(com.yaof.pojo.AmmountSum)
2020-07-24 09:36:02,499 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [main] (AbstractHandlerMethodMapping.java:543) INFO  --> Mapped "{[/user/deleteDayDetailById],methods=[POST]}" onto public com.yaof.pojo.utils.Response<java.lang.String> com.yaof.controller.AmmountController.deleteDayDetailById(com.yaof.pojo.AmmountSum)
2020-07-24 09:36:02,501 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [main] (AbstractHandlerMethodMapping.java:543) INFO  --> Mapped "{[/index]}" onto public java.lang.String com.yaof.controller.GameRoleController.index()
